"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"9567",648337,"Movie","Go! The Unforgettable Party","Mauro Scandolari","Pilar Pascual, José Giménez-Zapiola, Santiago Saez, Renata Toscano Bruzón, Gastón Ricaud","Argentina","2019-11-15",2019,7.5,NA,"Music, Family, Drama, TV Movie","es","Mia is happy to be able to spend a vacation with her dad, but Lupe, Mercedes, Juanma and Alvaro arrive by surprise at the same resort... and bring the school drama with them!",10.288,79,7.5,0,0
"12434",685691,"Movie","BARDO, False Chronicle of a Handful of Truths","Alejandro González Iñárritu","Daniel Giménez Cacho, Griselda Siciliani, Íker Sánchez Solano, Ximena Lamadrid, Luz Jiménez","Mexico, United States of America","2022-10-27",2022,6.921,NA,"Comedy, Drama","es","A renowned Mexican journalist and documentary filmmaker living in Los Angeles, after being named the recipient of a prestigious international award, is compelled to return to his native country, unaware that this simple trip will push him to an existential limit.",14.428,229,6.921,0,0
"4948",249142,"Movie","Taste Of You","Carlo Vanzina","Vincenzo Salemme, Maurizio Mattioli, Nancy Brilli, Katy Louise Saunders, Serena Autieri","Italy","2014-01-09",2014,5.8,NA,"Comedy","it","It depicts the lives of several groups of characters interacting at the beach of Forte dei Marmi during the mid-1980s.",6.171,135,5.8,3000000,2534077
"13",24021,"Movie","The Twilight Saga: Eclipse","David Slade","Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Dakota Fanning","United States of America","2010-06-23",2010,6.204,NA,"Adventure, Fantasy, Drama, Romance","en","Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",81.8,8829,6.204,68000000,698491347
"5134",351694,"Movie","Monkey King: Hero Is Back","Xiaopeng Tian","Zhang Lei, Lin Zijie, Tong Zirong, Beichen Liu, Zhou Shuai","China","2015-07-10",2015,6.9,NA,"Fantasy, Animation, Comedy","zh","The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",23.599,268,6.9,10000000,1.53e+08
"5131",373879,"Movie","One Piece: Adventure of Nebulandia","Konosuke Uda","Mayumi Tanaka, Kazuya Nakai, Akemi Okamura, Kappei Yamaguchi, Hiroaki Hirata","Japan","2015-12-20",2015,7.7,NA,"Action, Animation, Adventure, Comedy, Fantasy, TV Movie","ja","The Foxy Pirates challenge Luffy’s crew in the New World, but the fun and games go belly-up when the Navy’s most brilliant tactician steps in. Before the Straw Hats even know what hit them, they wind up on the island of Nebulandia, an infamous death trap for Devil Fruit users. Luffy must team up with his Davy Back nemesis for a harrowing rescue mission when Zoro, Sanji, and some Foxy Pirates are held hostage!",24.069,199,7.7,0,0
"6828",371445,"Movie","As You Are","Miles Joris-Peyrafitte","Owen Campbell, Charlie Heaton, Amandla Stenberg, John Scurti, Scott Cohen","United States of America","2016-12-08",2016,7,NA,"Drama","en","Set in the early 1990s, ""As You Are"" is the telling and retelling of a relationship between three teenagers as it traces the course of their friendship through a construction of disparate memories prompted by a police investigation.",7.445,92,7,0,0
"5034",76757,"Movie","Jupiter Ascending","Lana Wachowski, Lilly Wachowski","Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth","United States of America","2015-02-04",2015,5.5,NA,"Science Fiction, Fantasy, Action","en","In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",53.565,6789,5.5,176000000,1.84e+08
"2652",122924,"Movie","One in the Chamber","William Kaufman","Dolph Lundgren, Cuba Gooding Jr., Leo Gregory, Billy Murray, Claudia Bassols","Romania, United States of America","2012-08-21",2012,5.6,NA,"Action, Thriller","en","A seasoned assassin plays both sides in a Russian gang war and becomes the target of an unknown enemy.",7.115,162,5.6,6000000,0
"14345",739547,"Movie","Thelma the Unicorn","Lynn Wang, Jared Hess","Brittany Howard, Will Forte, Jemaine Clement, Edi Patterson, Maliaka Mitchell","United States of America","2024-05-17",2024,7.038,NA,"Animation, Fantasy, Family","en","Thelma dreams of being a glamorous unicorn. Then in a rare pink and glitter-filled moment of fate, Thelma's wish comes true. She rises to instant international stardom, but at an unexpected cost. After a while, Thelma realizes that she was happier as her ordinary, sparkle-free self. So she ditches her horn, scrubs off her sparkles, and returns home, where her best friend is waiting for her with a hug.",45.336,169,7.038,0,0
"3936",214091,"Movie","The Last of Robin Hood","Wash Westmoreland, Richard Glatzer","Dakota Fanning, Susan Sarandon, Kevin Kline, Patrick St. Esprit, Sean Flynn","United States of America","2013-09-06",2013,5.6,NA,"Drama, Romance, TV Movie","en","Errol Flynn, the swashbuckling Hollywood star and notorious ladies man, flouted convention all his life, but never more brazenly than in his last years when, swimming in vodka and unwilling to face his mortality, he undertook a liaison with an aspiring actress, Beverly Aadland. The two had a high-flying affair that spanned the globe and was enabled by the girl's fame-obsessed mother, Florence. It all came crashing to an end in October 1959, when events forced the relationship into the open, sparking an avalanche of publicity castigating Beverly and her mother - which only fed Florence's need to stay in the spotlight.",5.516,56,5.6,0,0
"13288",958006,"Movie","The Kill Room","Nicol Paone","Uma Thurman, Joe Manganiello, Samuel L. Jackson, Maya Hawke, Debi Mazar","United States of America","2023-09-14",2023,5.9,NA,"Comedy, Crime","en","A hitman, his boss, an art dealer and a money-laundering scheme that accidentally turns the assassin into an overnight avant-garde sensation, one that forces her to play the art world against the underworld.",23.503,239,5.9,50000000,476375
"397",37931,"Movie","MacGruber","Jorma Taccone","Will Forte, Kristen Wiig, Ryan Phillippe, Powers Boothe, Maya Rudolph","United States of America","2010-05-21",2010,5.4,NA,"Action, Comedy","en","Ex-special operative MacGruber is called back into action to take down his archenemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, DC.",8.953,553,5.4,10000000,9322895
"1355",78480,"Movie","Monsieur Lazhar","Philippe Falardeau","Mohamed Fellag, Émilien Néron, Danielle Proulx, Sophie Nélisse, Marie-Ève Beauregard","Canada","2011-09-10",2011,7.1,NA,"Drama, Comedy","fr","During a harsh Montréal winter, an elementary-school class is left reeling after its teacher commits suicide. Bachir Lazhar, a charismatic Algerian immigrant, steps in as the substitute teacher for the classroom of traumatized children. All the while, he must keep his personal life tucked away: the fact that he is seeking political refuge in Québec – and that he, like the children, has suffered an appalling loss.",9.777,321,7.1,0,6581915
"5523",336203,"Movie","Masaan","Neeraj Ghaywan","Richa Chadha, Sanjay Mishra, Vicky Kaushal, Shweta Tripathi Sharma, Vineet Kumar","France, India","2015-07-24",2015,7,NA,"Drama","hi","Four lives intersect along the Ganges: a low caste boy in hopeless love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and a spirited child yearning for a family, long to escape the moral constructs of a small-town.",9.285,179,7,0,0
"1230",55787,"Movie","Water for Elephants","Francis Lawrence","Robert Pattinson, Reese Witherspoon, Christoph Waltz, Paul Schneider, Jim Norton","United States of America","2011-04-15",2011,6.9,NA,"Drama, Romance","en","In this captivating Depression-era melodrama, impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angelic married performer Marlena.",13.105,2531,6.9,38000000,117094902
"4242",283350,"Movie","Before We Go","Chris Evans","Chris Evans, Alice Eve, Emma Fitzpatrick, Mark Kassen, Daniel Spink","United States of America","2014-09-04",2014,6.7,NA,"Comedy, Drama, Romance","en","A woman who is robbed on her way to catch the 1:30 train to Boston is left stranded in New York City. She meets a man who helps her during the course of the night and the two form a romance.",15.421,1812,6.7,0,37151
"6581",421758,"Movie","Journey Back to Christmas","Mel Damski","Candace Cameron Bure, Oliver Hudson, Tom Skerritt, Brooke Nevin, Meghan Heffern","Canada","2016-11-27",2016,6.44,NA,"Drama, Family, TV Movie","en","WWII has ended and Hanna is still grieving over her husband's disappearance. When the Christmas Comet appears for the first time in 70 years, Hanna is caught in a terrible storm and knocked unconscious. When she wakes up, she's in 2016.",9.442,91,6.44,0,0
"534",39053,"Movie","Cyrus","Mark Duplass, Jay Duplass","John C. Reilly, Jonah Hill, Marisa Tomei, Catherine Keener, Matt Walsh","United States of America","2010-06-18",2010,5.9,NA,"Comedy, Drama, Romance","en","With John's social life at a standstill and his ex-wife about to get remarried, a down on his luck divorcée finally meets the woman of his dreams, only to discover she has another man in her life - her son. Before long, the two are locked in a battle of wits for the woman they both love-and it appears only one man can be left standing when it's over.",7.225,418,5.9,7000000,9900000
"7873",425298,"Movie","Darkland","Fenar Ahmad","Dar Salim, Roland Møller, Stine Fischer Christensen, Dulfi Al-Jabouri, Ali Sivandi","Denmark","2017-01-19",2017,6.1,NA,"Thriller, Action, Drama","da","Zaid is a successful heart surgeon with an expensive apartment and pregnant girlfriend. One night he gets a visit from his brother Yasin, who is desperate for money, but he refuses. Soon after, Yasin is found beaten to death and Zaid is overcome with guilt. As guilt gives way to anger, Zaid becomes a masked avenger and takes on Copenhagen's criminal underworld in his quest for justice.",7.539,127,6.1,0,0
"14697",1232289,"Movie","Society of the Snow: Who Were We on the Mountain?","Manuel Romo","J.A. Bayona, Sandra Hermida, Eduardo Strauch, Carlitos Páez, Nando Parrado","","2024-01-23",2024,7.4,NA,"Documentary","es","An in-depth look at the creative process behind ""Society of the Snow,"" featuring cast, crew, director J.A. Bayona and even real-life survivors.",17.512,58,7.4,0,0
